         423826 function calls (410833 primitive calls) in 1.550 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1189    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      938    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
       13    0.000    0.000    0.001    0.000 argparse.py:391(_format_actions_usage)
      938    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
       50    0.000    0.000    0.001    0.000 contextlib.py:210(contextmanager)
        2    0.000    0.000    0.053    0.027 __init__.py:72(<module>)
       59    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      102    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        3    0.000    0.000    0.000    0.000 {built-in method nt._isdir}
       35    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
        1    0.000    0.000    0.232    0.232 __init__.py:106(<module>)
       65    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
      261    0.000    0.000    0.039    0.000 re.py:232(compile)
      616    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
      140    0.000    0.000    0.001    0.000 _internal.py:784(_ufunc_doc_signature_formatter)
       35    0.000    0.000    0.001    0.000 enum.py:125(__prepare__)
      106    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      141    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
       82    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
      374    0.000    0.000    0.000    0.000 argparse.py:1299(register)
      282    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      612    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
       81    0.000    0.000    0.000    0.000 token.py:35(__getattr__)
       32    0.000    0.000    0.000    0.000 typing.py:844(__init_subclass__)
        1    0.000    0.000    0.000    0.000 interactiveshell.py:101(TerminalInteractiveShell)
        1    0.000    0.000    0.064    0.064 __init__.py:13(<module>)
        1    0.000    0.000    0.144    0.144 application.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vt100.py:198(__init__)
      336    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
        1    0.000    0.000    0.001    0.001 _torch_docs.py:1(<module>)
      114    0.000    0.000    0.000    0.000 inspect.py:171(isgeneratorfunction)
       32    0.000    0.000    0.000    0.000 typing.py:533(__init__)
      316    0.000    0.000    0.000    0.000 overrides.py:124(array_function_dispatch)
      421    0.000    0.000    0.001    0.000 typing.py:351(<genexpr>)
        1    0.000    0.000    0.000    0.000 _functions.py:112(CrossMapLRN2d)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
      100    0.000    0.000    0.000    0.000 formatters.py:351(_hue_to_rgb)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
      562    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      702    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 latex_symbols.py:1301(<dictcomp>)
       82    0.000    0.000    0.000    0.000 enum.py:453(_find_data_type)
      186    0.000    0.000    0.000    0.000 os.py:744(encodekey)
